Time_Step,Depth_m,Pump_Status,ROP_m_hr,SPP_psi,Flow_In_gpm,Flow_Out_pct,Pit_Volume_bbl,Total_Gas_pct,Gamma_Ray_API,Resistivity_ohm_m,Scenario_Label,BOP_Closed
0,1500.0,1,15.514799850689387,3039.9553549234956,496.9863877468255,97.38570844952716,499.26988937319004,1.002924836891162,89.53535606070572,1.8648802839678311,0,0
1,1500.5,1,13.183037134438678,3010.8028328663845,497.2171340035719,98.8258661764235,499.53572622104053,1.0860056602920474,82.33105311263479,2.095337935096245,0,0
2,1501.0,1,14.242993787882353,3049.9905078014745,499.3716282510684,101.10628579783655,500.94342796564837,1.428129326780992,90.72569466303918,1.6628440311877315,0,0
3,1501.5,1,13.930168802448858,3031.828600320189,507.111590263651,100.22024013969607,501.6673143939358,1.11424208421563,88.17375559004338,2.0099330052212623,0,0
4,1502.0,1,16.71614669214325,2992.723400040667,499.45771960346383,99.96884669484706,499.39099431610964,1.0447657395639671,79.05013669156735,2.008978306835143,0,0
5,1502.5,1,14.173980035370546,3117.2429130063138,504.8689020632802,100.30768953688505,500.54015290739756,1.0203946701226547,88.70820720267942,1.9753307159220332,0,0
6,1503.0,1,15.996377168974565,3081.4056331274573,495.2065829096228,97.6878958093442,500.0800862166807,1.0889163267779134,87.94256577310871,2.1500245675566227,0,0
7,1503.5,1,19.020398495143972,2979.862192752318,501.8486182067513,98.4306706024654,499.33666014643853,1.229002653321476,80.62567873288644,2.360430993166573,0,0
8,1504.0,1,17.52572308903531,2996.4491787532697,501.0945431433542,101.07787366018664,499.6972211337201,0.9552612357788939,89.71358079902635,1.7992687824375861,0,0
9,1504.5,1,14.121570286264731,3075.8486666839362,501.50619891512633,100.81753362849335,498.58641690942056,0.9510012793212398,82.7284361505734,1.655583989754044,0,0
10,1505.0,1,14.307124214022698,3098.97024042298,511.00583893615885,104.27754735751807,499.2144492513275,0.9190885559605388,82.93820149318917,1.7323880160510432,0,0
11,1505.5,1,15.910639319114493,3090.050965776683,503.4277470169652,96.05669860308802,500.1079364648087,1.1770950540051968,80.72049886207179,2.204439085740845,0,0
12,1506.0,1,11.662674585972736,2939.020907136201,498.34117802709625,98.65589701144042,500.9673921802778,1.3743524726418854,85.9603267216943,1.8022364531173884,0,0
13,1506.5,1,13.275829009980374,3023.875428781297,492.9692432086034,99.67015260745653,499.2993826371578,0.9480316330940736,80.70288654154128,2.0824854183974177,0,0
14,1507.0,1,15.985821696247482,3082.347499811953,504.27960577092097,100.23754645492635,499.49550034448896,1.0187870435267636,82.786375492588,1.8994375298381838,0,0
15,1507.5,1,14.751373207709028,3002.0252713216023,504.8649707207296,99.67468926986488,499.4725610776283,0.7678574325105274,83.67228293902927,1.9559470730387003,0,0
16,1508.0,1,18.870272574800683,3083.680754254271,497.35593796350366,96.25642829201067,499.4177295687583,1.011234588836549,81.91171993081203,1.9385762056966693,0,0
17,1508.5,1,13.763114690031223,3001.3556307875056,490.099205324471,101.22900459597349,500.0863283317329,0.6248367121244857,86.03816722606646,1.9541676064839746,0,0
18,1509.0,1,12.906322027569885,3028.5070938032045,505.2951406719939,99.91359611765057,498.70150196830417,1.0443976702342852,81.49046188268997,2.0255846341768846,0,0
19,1509.5,1,13.220764822679595,2979.5614141367514,499.9963836519497,101.18138553970896,499.8700936053571,0.8269820370888586,89.19590720244729,1.657197191332907,0,0
20,1510.0,1,15.028081074394256,2979.9978792575494,501.5899321752132,96.54574358056168,500.1630846820565,1.221793577242562,88.33617169744792,1.8065766589833583,0,0
21,1510.5,1,14.678340627668433,2967.8896697674763,493.80842500066024,97.77242684457343,501.1576072922081,0.9026469007184705,90.60545323470966,2.0925664641055413,0,0
22,1511.0,1,19.46071929766388,3002.6451481694407,500.71290076708516,100.93896996194901,499.99134551182635,0.914474452294703,81.15972715021883,2.345380320842678,0,0
23,1511.5,1,14.201768562948953,2962.436223641517,500.1028337225864,97.75381472701474,499.87287977640864,1.2209545119889407,84.80155412956807,1.992323170155714,0,0
24,1512.0,1,15.108889126729144,3073.5307392846444,502.5654400080103,102.18278260210212,500.1570104008324,0.9755964726034784,83.13936568290346,1.9958848603817518,0,0
25,1512.5,1,16.768363630390237,2986.1830420554256,495.36458837027004,99.49561830118719,500.5524029895379,1.1157048820627307,85.35323974513962,1.8150630792243483,0,0
26,1513.0,1,14.784038877314131,3017.3734255051195,506.9837085223549,98.24549446536403,499.15287336061897,1.3186513624538352,87.99722178481576,1.6565655043229153,0,0
27,1513.5,1,16.11121396850364,2989.100287258152,495.6247599019478,97.11271286363232,499.9735389868404,1.2263326965974337,88.94477792365677,2.02367318247775,0,0
28,1514.0,1,15.789813271900353,3064.330896244251,501.42171576723297,101.58621983426633,500.83112589772406,0.6408558864682706,95.3596776222063,2.0227624309941303,0,0
29,1514.5,1,16.674410045294596,3011.2150530224562,496.91263370761266,102.9116858032895,499.29426983432666,1.2229718000511793,88.25236844202442,2.318513003847719,0,0
30,1515.0,1,12.184243659206846,3038.6377032145697,497.3875198867452,101.85516836905607,498.8335452801513,1.4217723671439186,86.99351427738492,1.9263928904871357,0,0
31,1515.5,1,16.615698827269803,3014.0200937138557,494.7650966275506,104.02685209854016,501.8857621676638,0.9876715376971679,79.84427483880127,2.16320577014281,0,0
32,1516.0,1,14.72343271071798,3071.953167360195,501.96932965483666,97.5235984499864,498.7209943717331,1.1371138324469743,88.3791564086242,2.0353245215382074,0,0
33,1516.5,1,15.374357170667992,2996.968759809582,502.2670423116062,99.98771828144093,499.98646062049113,0.8798286143962987,75.76324319613249,2.1401826879655546,0,0
34,1517.0,1,14.226683728973203,2912.1924823226627,500.22435234375524,100.45298017714602,500.78675963913685,1.1286053603201334,90.79164113899611,2.1289469792662046,0,0
35,1517.5,1,18.318097459583985,3021.9533053923037,503.90347198837225,99.00061918435861,499.9111677866784,1.0466423334601946,96.03511282368402,2.056261379887754,0,0
36,1518.0,1,10.905861737814956,3015.779564814826,502.7155269334341,97.8205896422666,499.49583500945914,0.9182465727517606,82.73910187872737,2.0261036796599976,0,0
37,1518.5,1,17.79863397261235,2989.497453071875,499.2465817554595,101.75613770445314,499.6328375308202,0.7805852522091203,72.78415274692215,2.033391071498257,0,0
38,1519.0,1,13.641985757595616,2984.9228958828694,505.6733613684129,101.64541546044482,499.01957893677564,1.3520493861148821,81.40551621054733,1.6355889580310998,0,0
39,1519.5,1,18.05797026919192,3000.6888892332317,499.50056766780557,103.35759571133416,499.82608981251065,0.9840901591181539,79.8361987364747,2.061011792170632,0,0
40,1520.0,1,17.442431926506938,3005.9952707188045,504.2839510596524,102.22271415251863,500.42485268057743,1.26250708630143,89.36999216895869,1.7134236424785705,0,0
41,1520.5,1,17.029977033565398,3049.294061477309,498.69847284650274,99.87291720082088,497.9411626177142,1.259214426326579,92.05381823939348,2.2526926090341783,0,0
42,1521.0,1,16.6562599646994,2989.394609938781,498.6448115910597,101.31141308158253,500.4663671961263,1.158729023014793,87.62453007480684,1.9968640238337083,0,0
43,1521.5,1,19.532585416420382,3041.850291133777,506.3549221084081,102.28998567640528,499.5692795481511,0.9359275241119238,75.540561307586,2.0940284922185453,0,0
44,1522.0,1,13.810088659733143,2910.3070109048876,495.1801438215546,100.47054583006461,499.2651280201249,1.0723085777190977,86.4403300623583,2.382159262325243,0,0
45,1522.5,1,13.837460924943167,3014.974530652564,497.3026065877571,98.68342975374784,499.3921469085377,0.9574555047210167,90.06682639576574,1.5777812063434802,0,0
46,1523.0,1,13.688211707632266,2926.4081763456393,490.2632904839131,98.97459307790804,499.47357557244936,0.9122636971652955,95.86647256820528,1.9852388582975606,0,0
47,1523.5,1,16.850297706713746,3039.068559508775,495.8873407930085,99.02503878699468,500.55182629536097,1.0778209635993063,79.11987328938258,1.7835383820364956,0,0
48,1524.0,1,12.401677311498293,3126.1323354741203,495.00673768312976,99.25110810602125,499.4106435669419,1.067241083608908,92.78434431523621,1.8458575368283199,0,0
49,1524.5,1,17.022333734421522,2944.610898070445,495.9254290508029,98.0868935364018,501.7188889464028,1.1966757830161714,88.38866272436145,2.103935028768501,0,0
50,1525.0,1,14.423119634466653,3074.550156280664,499.1250902145192,102.50256160434081,500.5301090306546,0.9573661782771212,79.4485550092248,2.528401834175101,0,0
51,1525.5,1,12.864573869289387,2963.625825875038,497.44266567822586,98.32314188651303,500.83243157283516,1.0982790210661348,83.96190942934385,1.7004615365494908,0,0
52,1526.0,1,12.844798204887272,2999.0587157841323,504.60094885235947,99.96436916976037,500.73074839641964,1.003018907002707,83.34419058534075,2.0200094937117408,0,0
53,1526.5,1,13.406452473961176,3043.3040803040603,510.996900016464,102.9581035378228,501.29094240402367,1.0584915051908044,75.18372145188933,2.0736797674256913,0,0
54,1527.0,1,12.027914836279226,2959.6175469971695,496.4493569970667,100.76258670457692,498.07980338125253,0.8346594508586049,79.29307734902488,1.835333006107646,0,0
55,1527.5,1,16.028257531347112,3005.2558552354863,504.8366853164514,99.55026008096162,498.4568556137355,1.2780396115780184,84.46280206613123,2.147164355237759,0,0
56,1528.0,1,16.70358172888614,2948.092535823242,500.9374126072958,98.06532446019966,499.8432257397251,1.2382894188789892,87.0455040282477,2.0295830913329356,0,0
57,1528.5,1,16.91734687454686,3055.3050625980886,496.7009081068486,99.15799984882011,500.91499791974536,1.2532860014130096,92.29521687559516,2.0862368943861367,0,0
58,1529.0,1,13.747031901746032,2984.6511822862453,498.856389218942,100.1900149073707,500.2284918746143,1.1602923639819394,85.29250772642406,2.2134473003203476,0,0
59,1529.5,1,15.61586202575107,2976.51103439687,496.0964179615503,98.9587983311867,499.56620694950703,1.0858629790004477,83.35632448795889,1.8533175425284332,0,0
60,1530.0,1,15.010411369871106,2980.669510985032,497.03695950508813,100.39980427330397,500.25637371991667,0.8900172386871016,92.0194508217092,1.7661950590072546,0,0
61,1530.5,1,16.38306381528505,2955.2212506424585,510.00573476201896,100.64143756037276,500.267712386159,0.859006374424516,79.16006594150286,1.9189295810536429,0,0
62,1531.0,1,15.889724318154624,2990.6941529620008,503.0139590366669,97.48071578551723,499.3073503719659,1.0157811748020338,74.03548318066423,1.9033262100297528,0,0
63,1531.5,1,15.18055906498209,2899.8817152603046,494.1476705176712,100.1792205527913,500.9954476157298,0.9937163854070022,77.41897961907658,1.9357765169561647,0,0
64,1532.0,1,11.28331420131978,3094.236086982066,497.16371206439544,102.48351606627571,499.46411245549524,1.0397420527361574,75.13109512577678,2.1838852490865697,0,0
65,1532.5,1,14.666839912162336,3036.5991811924146,501.5496140364805,98.12901537424969,499.68227789115645,1.1221835093899086,76.90120353880417,2.1221785917445875,0,0
66,1533.0,1,15.221752960274909,3001.9180771876763,494.00630234533963,100.61453204671345,501.1047802209791,0.9848556670129239,84.89676467315634,1.8509267568147205,0,0
67,1533.5,1,13.610454711978013,2920.3074037449114,497.91804526334516,101.07864493423754,502.441827938982,1.3145099755036758,80.27865275326162,1.7718963197646938,0,0
68,1534.0,1,14.461648868122039,3027.929063562419,499.37252222781336,99.08441948607518,501.11353827016256,1.021262249399036,80.37782844315272,1.8250600298317794,0,0
69,1534.5,1,12.401549699978439,3016.499485174407,504.67386791718474,101.41137209321788,499.3364103347058,1.013462385016827,79.61918452238618,2.158163230676682,0,0
70,1535.0,1,14.357789105794822,2950.325551471736,501.44879517820095,102.49008596905966,500.6774375917617,0.9392178710084323,73.14804683984973,2.2431430615981367,0,0
71,1535.5,1,16.01173748432093,3001.9662282349095,509.99087469298615,100.38066411461396,500.6671594485851,0.9336686978632786,93.48228620367206,2.075341104166876,0,0
72,1536.0,1,19.17811914240793,2987.230864529421,487.55517746985277,99.40215472289321,499.6086859082498,1.1204147247659917,87.2712450014648,2.077981153496041,0,0
73,1536.5,1,12.974581490399444,2863.0904362017463,493.20575032170365,99.66817198951239,499.84152121973784,1.0021703269348212,83.70287428820647,2.266347606988026,0,0
74,1537.0,1,14.952051859460699,3008.0402027431014,498.8993140705062,103.14502502805095,500.1808466966966,1.2214835537953863,88.46786880449723,2.0578836305797656,0,0
75,1537.5,1,13.077061899922919,3037.8459477733627,500.1868672717369,101.8698043642544,499.6000766450788,0.8033318720371769,89.45760967413493,2.022732449701436,0,0
76,1538.0,1,14.814867622066815,2940.758921817539,495.31860999912925,101.83505670144667,499.2785803257915,1.020546431480371,81.92747903248346,2.123075499634752,0,0
77,1538.5,1,14.552535837733611,2979.55830594162,494.9043586618594,100.47914148965393,498.06437034796267,1.1266492242139683,87.60763967450055,2.059571148094415,0,0
78,1539.0,1,16.665784324198665,3002.947007959341,503.3135581801665,99.11020274245138,501.8157543028013,0.9677111070847907,76.00511560368446,2.2070170690802646,0,0
79,1539.5,1,16.94823915678081,2959.7361122158186,501.6431787599355,101.34327483844244,499.341910082923,1.0711780362362548,89.57451972936614,2.141690639077355,0,0
80,1540.0,1,15.325636315396201,3009.513498392475,504.10798304044124,99.02008385818979,498.96682016050516,0.8068725123184659,93.7944389088168,2.2228292634802878,0,0
81,1540.5,1,14.77101595979133,3041.0473686707765,506.54738778458113,100.20193424001222,500.59324258749905,1.0718332953344885,86.59878379271319,1.7235409933719628,0,0
82,1541.0,1,17.372936865233292,2998.6773961114586,498.83124355509227,99.09952267676476,500.9989556064687,0.8691263707223114,79.24067299682689,1.9840239073245463,0,0
83,1541.5,1,15.359583301726357,2990.8986165091396,495.7567365150145,99.56525032903879,499.7754825268625,0.8615533041925663,93.40931719362933,2.2707246686334,0,0
84,1542.0,1,18.032883235266972,2952.5400581243784,501.12295986519064,98.37510055509,499.62866814153654,0.6383871435048492,80.37316701540713,1.843556962792563,0,0
85,1542.5,1,11.731935960743764,2984.6195495589814,504.8553190767751,99.28814002921925,500.4716294828299,1.0801576521476486,87.2701982939368,1.949829141563603,0,0
86,1543.0,1,18.563941801991533,2967.4008469830596,502.0015683938579,100.3738537733313,500.52655649416306,0.9945373139687211,86.2547987488161,1.9656815392734264,0,0
87,1543.5,1,13.764544598225624,3094.1531194307427,491.92533591402344,102.09521516413167,500.308123728888,0.937257131386066,82.12148518547075,1.8686711689846525,0,0
88,1544.0,1,12.827201414282486,3028.736147488603,498.38202687475734,101.19147542207821,501.4832846843717,1.2725533085247231,87.7196240744451,1.748897106186008,0,0
89,1544.5,1,14.910493343990577,3074.6264183229,497.2995222717159,98.55015248270252,500.26181951397075,0.8360556071186465,87.9092741519013,1.7984806221998486,0,0
90,1545.0,1,12.672595160503487,3070.960354662972,496.82664600640044,98.65267151005752,499.3662445833298,1.0451869927103163,84.60811099279908,1.8344479854261455,0,0
91,1545.5,1,16.13787899000844,2937.327977299693,492.278050910359,102.5990854670376,499.6934508646849,1.2167678286545474,98.67143366399313,1.8481045432419565,0,0
92,1546.0,1,14.074712288919148,3089.8436569409314,501.4878605992192,99.41268123225619,500.31149528636,1.235292759771922,82.6610584106981,1.7025627866888486,0,0
93,1546.5,1,15.574710209665055,2995.436528735663,505.7532223701515,100.39422977244209,498.55084615012095,1.377304689064423,75.61303703327647,2.091223236645633,0,0
94,1547.0,1,13.045322578323425,3026.506368800135,501.2207141124675,101.49950707182114,500.9689930603498,1.191778512401781,80.23365144676603,2.0071164923900566,0,0
95,1547.5,1,14.555127483128134,2969.1159414929534,495.44553845948417,100.74601443712788,499.3113698238967,0.670864893628489,85.01924312548348,2.0044263469689256,0,0
96,1548.0,1,15.193863535760391,2997.44838893068,505.5514784596066,98.54990560268203,500.5880422124361,0.7216377968502412,78.01928914329778,2.021015945122422,0,0
97,1548.5,1,14.623231302239041,2938.9296323288677,496.47972685865767,99.91943824280905,501.5696699294424,1.0327743542999996,79.7187574480984,1.5991923260313223,0,0
98,1549.0,1,18.18320431674589,3046.316774502341,499.405160926864,99.1021463711197,499.45266148825164,0.8338120415334745,85.61149709158263,1.8722397474964798,0,0
99,1549.5,1,16.171621654549565,2998.266949665936,503.76910816562446,97.96185970548113,501.27345394556687,1.06498154770834,84.6978351103862,2.1425316215074206,0,0
100,1550.0,1,15.407350784030083,3013.158945771881,500.267282521008,99.42861161359599,500.4880431964971,1.1024701460478303,82.54658503884116,1.835200889440891,0,0
101,1550.5,1,11.286958599202851,2965.3864031759276,498.69462092441563,101.16079102046648,499.75554368916966,1.2190228697384344,84.89132435494668,1.9367724982994072,0,0
102,1551.0,1,15.756378912340928,2999.8077587370944,499.94860198105505,99.7542202563751,502.4410745667327,0.9282485480682606,81.65129499895612,2.0069860274597695,0,0
103,1551.5,1,17.472280630343338,2993.98857256759,499.48334525730917,97.21020228615369,500.2418243859474,0.8848633729370304,93.47345663111354,2.124120402282692,0,0
104,1552.0,1,13.620056392929941,2981.3829654717965,497.85387335537746,99.93771533073314,500.1520122691691,1.2133104822004848,84.10763548577032,2.0426048746093715,0,0
105,1552.5,1,14.603290615576507,2933.9952682537346,505.01168099024005,98.81286227870622,500.16253950632495,1.2806179088384964,84.13099312761376,2.377100364479935,0,0
106,1553.0,1,8.9485202541548,3004.2523365188486,499.1589033253768,102.48400744389427,500.8033723888989,0.9970363760323979,87.04727184413323,2.0877037437463914,0,0
107,1553.5,1,12.508747553176526,3058.0721174851315,497.2232491405324,99.06663297797046,500.09113402450294,0.805011116467132,85.35967351276369,2.026781454388,0,0
108,1554.0,1,10.831921056973357,2979.3786492321974,498.8002111258715,100.41964817065379,499.3502716151964,1.2380890931306587,93.78942451289413,1.7394206593747692,0,0
